command,compress_gbps,compressed_size_bytes,compression_ratio,compression_time_sec,compressor,dataset,decompress_gbps,decompression_time_sec,elapsed_sec,error_mode,error_value,label,ncu_log,ncu_report_base,ncu_return_code,raw_log,return_code,timed_trial,trial
../dep/install/cuSZ/bin/cusz --help,,,,,cusz,hurricane_primary,,,0.0013954639434814453,rel,1e-2,cusz,,,,../outputs/raw/hurricane_primary__cusz__rel_1e-2__trial0.log,127,False,0
../dep/install/cuSZ/bin/cusz --help,,,,,cusz,hurricane_primary,,,0.000911712646484375,rel,1e-2,cusz,../outputs/raw/hurricane_primary__cusz__rel_1e-2__trial1.ncu.log,../outputs/raw/hurricane_primary__cusz__rel_1e-2__trial1,127,../outputs/raw/hurricane_primary__cusz__rel_1e-2__trial1.log,127,True,1
../dep/install/cuSZ/bin/cusz --help,,,,,cusz,hurricane_primary,,,0.0007531642913818359,rel,1e-2,cusz,../outputs/raw/hurricane_primary__cusz__rel_1e-2__trial2.ncu.log,../outputs/raw/hurricane_primary__cusz__rel_1e-2__trial2,127,../outputs/raw/hurricane_primary__cusz__rel_1e-2__trial2.log,127,True,2
../dep/install/cuSZ/bin/cusz --help,,,,,cusz,hurricane_primary,,,0.0009853839874267578,rel,1e-2,cusz,../outputs/raw/hurricane_primary__cusz__rel_1e-2__trial3.ncu.log,../outputs/raw/hurricane_primary__cusz__rel_1e-2__trial3,127,../outputs/raw/hurricane_primary__cusz__rel_1e-2__trial3.log,127,True,3
../dep/install/cuSZ/bin/cusz --help,,,,,cusz,hurricane_primary,,,0.00112152099609375,rel,1e-2,cusz,../outputs/raw/hurricane_primary__cusz__rel_1e-2__trial4.ncu.log,../outputs/raw/hurricane_primary__cusz__rel_1e-2__trial4,127,../outputs/raw/hurricane_primary__cusz__rel_1e-2__trial4.log,127,True,4
../dep/install/cuSZ/bin/cusz --help,,,,,cusz,hurricane_primary,,,0.0008790493011474609,rel,1e-2,cusz,../outputs/raw/hurricane_primary__cusz__rel_1e-2__trial5.ncu.log,../outputs/raw/hurricane_primary__cusz__rel_1e-2__trial5,127,../outputs/raw/hurricane_primary__cusz__rel_1e-2__trial5.log,127,True,5
../dep/install/cuSZ/bin/cusz --help,,,,,cusz,hurricane_primary,,,0.0008141994476318359,rel,1e-3,cusz,,,,../outputs/raw/hurricane_primary__cusz__rel_1e-3__trial0.log,127,False,0
../dep/install/cuSZ/bin/cusz --help,,,,,cusz,hurricane_primary,,,0.0004534721374511719,rel,1e-3,cusz,../outputs/raw/hurricane_primary__cusz__rel_1e-3__trial1.ncu.log,../outputs/raw/hurricane_primary__cusz__rel_1e-3__trial1,127,../outputs/raw/hurricane_primary__cusz__rel_1e-3__trial1.log,127,True,1
../dep/install/cuSZ/bin/cusz --help,,,,,cusz,hurricane_primary,,,0.0007805824279785156,rel,1e-3,cusz,../outputs/raw/hurricane_primary__cusz__rel_1e-3__trial2.ncu.log,../outputs/raw/hurricane_primary__cusz__rel_1e-3__trial2,127,../outputs/raw/hurricane_primary__cusz__rel_1e-3__trial2.log,127,True,2
../dep/install/cuSZ/bin/cusz --help,,,,,cusz,hurricane_primary,,,0.0008614063262939453,rel,1e-3,cusz,../outputs/raw/hurricane_primary__cusz__rel_1e-3__trial3.ncu.log,../outputs/raw/hurricane_primary__cusz__rel_1e-3__trial3,127,../outputs/raw/hurricane_primary__cusz__rel_1e-3__trial3.log,127,True,3
../dep/install/cuSZ/bin/cusz --help,,,,,cusz,hurricane_primary,,,0.0008401870727539062,rel,1e-3,cusz,../outputs/raw/hurricane_primary__cusz__rel_1e-3__trial4.ncu.log,../outputs/raw/hurricane_primary__cusz__rel_1e-3__trial4,127,../outputs/raw/hurricane_primary__cusz__rel_1e-3__trial4.log,127,True,4
../dep/install/cuSZ/bin/cusz --help,,,,,cusz,hurricane_primary,,,0.0009400844573974609,rel,1e-3,cusz,../outputs/raw/hurricane_primary__cusz__rel_1e-3__trial5.ncu.log,../outputs/raw/hurricane_primary__cusz__rel_1e-3__trial5,127,../outputs/raw/hurricane_primary__cusz__rel_1e-3__trial5.log,127,True,5
../dep/install/cuSZ/bin/cusz --help,,,,,cusz,hurricane_primary,,,0.0008873939514160156,rel,1e-4,cusz,,,,../outputs/raw/hurricane_primary__cusz__rel_1e-4__trial0.log,127,False,0
../dep/install/cuSZ/bin/cusz --help,,,,,cusz,hurricane_primary,,,0.0006833076477050781,rel,1e-4,cusz,../outputs/raw/hurricane_primary__cusz__rel_1e-4__trial1.ncu.log,../outputs/raw/hurricane_primary__cusz__rel_1e-4__trial1,127,../outputs/raw/hurricane_primary__cusz__rel_1e-4__trial1.log,127,True,1
../dep/install/cuSZ/bin/cusz --help,,,,,cusz,hurricane_primary,,,0.0007534027099609375,rel,1e-4,cusz,../outputs/raw/hurricane_primary__cusz__rel_1e-4__trial2.ncu.log,../outputs/raw/hurricane_primary__cusz__rel_1e-4__trial2,127,../outputs/raw/hurricane_primary__cusz__rel_1e-4__trial2.log,127,True,2
../dep/install/cuSZ/bin/cusz --help,,,,,cusz,hurricane_primary,,,0.0012462139129638672,rel,1e-4,cusz,../outputs/raw/hurricane_primary__cusz__rel_1e-4__trial3.ncu.log,../outputs/raw/hurricane_primary__cusz__rel_1e-4__trial3,127,../outputs/raw/hurricane_primary__cusz__rel_1e-4__trial3.log,127,True,3
../dep/install/cuSZ/bin/cusz --help,,,,,cusz,hurricane_primary,,,0.0007488727569580078,rel,1e-4,cusz,../outputs/raw/hurricane_primary__cusz__rel_1e-4__trial4.ncu.log,../outputs/raw/hurricane_primary__cusz__rel_1e-4__trial4,127,../outputs/raw/hurricane_primary__cusz__rel_1e-4__trial4.log,127,True,4
